"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs","InstitEngage_fs"
5,5,5,5,5,4,5,3,3,5,3,4,5,5,4,5,4,3,1,1,4,8,2,0,0,0,10,5,1,1,1,5,5,3,4,3,3,3,3,3,0.637666740782074,-0.0718436820365812,0.390156190286469
4,4,4,4,3,4,2,1,1,2,2,2,3,2,3,2,4,3,1,1,5,1,2,0,1,1,1,8,1,3,1,4,5,7,6,8,4,1,2,4,-0.942311991429329,0.994278070303419,-0.978477185527979
5,4,5,4,4,3,4,2,3,4,3,2,4,4,5,5,4,3,1,2,2,2,3,1,1,1,10,5,2,3,1,1,4,9,5,5,5,5,1,5,-0.116465254366549,0.0704993261119914,0.0525750985219557
4,3,4,4,3,5,5,1,3,2,2,1,4,1,3,2,4,1,1,2,3,8,5,1,0,0,5,8,2,3,1,3,5,16,2,5,8,8,1,5,-1.16946789391451,0.367555009752449,-0.844484621982473
5,5,5,4,4,3,3,2,3,3,4,4,3,3,4,4,3,2,1,2,3,3,2,0,1,1,7,5,2,3,1,3,2,14,6,6,5,4,3,3,-0.0132023596756852,0.30575840803601,-0.381178044066332
5,5,5,5,5,5,5,3,3,3,4,5,5,5,5,4,5,1,1,2,5,2,3,1,1,1,7,8,2,3,1,5,5,5,5,4,6,1,5,5,0.41816368219865,0.375018863561732,0.43918922869002
5,5,5,5,4,4,5,3,2,4,4,3,4,1,5,4,5,2,1,2,1,1,1,0,1,1,14,8,2,3,1,5,5,3,4,6,8,4,1,4,0.145675190540327,-0.61967410681606,-0.139257450975954
4,4,5,4,4,4,4,3,3,3,3,5,4,3,4,3,3,3,1,2,8,2,2,0,2,0,12,5,1,3,1,3,3,14,7,6,8,4,3,4,-0.301184460322696,-0.18652061472194,-0.273611983751065
5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,3,1,2,8,8,1,0,1,0,1,8,1,3,1,5,4,3,5,5,5,3,3,6,0.637666740782074,0.871263232513044,0.777132289684139
4,5,5,5,5,4,5,2,2,3,3,2,4,4,3,4,3,2,1,1,1,1,2,0,0,1,1,8,2,3,1,4,5,16,3,7,2,1,2,3,0.241054132372064,0.813554603155052,-0.280346497596034
5,4,5,4,3,4,3,2,2,3,4,4,4,1,2,3,3,2,1,2,8,8,3,1,0,0,13,5,2,3,1,4,3,3,6,7,7,4,4,2,-0.683823890133,-0.532469998628272,-0.588043087302988
4,5,5,5,5,4,3,3,3,4,4,5,5,5,5,5,4,2,1,2,3,6,1,0,0,1,13,6,2,3,1,2,4,5,5,8,8,6,1,3,0.637666740782074,-0.527806893650448,0.540382744389923
5,5,5,5,5,5,3,2,3,3,5,5,5,5,5,5,5,3,1,2,2,2,3,1,1,1,7,7,2,4,1,5,5,13,7,6,5,3,3,3,0.436069280573343,0.375018863561732,0.574745258284333
5,5,5,5,5,4,4,1,3,3,3,3,4,2,3,4,3,3,1,1,6,6,5,1,0,1,10,5,2,3,1,4,4,10,8,5,6,4,8,4,0.0746431384283489,-0.0105484618161797,-0.498605550324183
5,4,5,5,5,3,5,3,3,5,5,5,5,4,3,5,5,3,1,1,1,1,2,0,1,1,4,5,2,3,1,2,5,4,6,7,5,1,2,3,0.310772166726024,0.557034603363158,0.436274682901977
4,4,5,5,5,4,4,3,3,4,4,3,4,3,4,4,3,2,1,1,8,6,2,0,1,0,4,6,1,3,1,4,5,14,7,6,5,1,4,5,0.120118371760654,0.54169234222313,-0.0368624384568492
5,3,4,3,4,4,3,2,1,2,5,1,4,2,3,3,4,3,1,1,8,8,2,0,2,0,2,8,1,3,1,4,4,9,7,5,7,4,1,3,-0.72069445431727,0.802087083702979,-0.32868700683546
5,5,5,5,4,5,4,3,2,2,2,3,4,2,2,3,3,3,1,1,1,6,3,1,0,1,5,4,2,4,1,3,4,3,5,6,2,1,1,5,-0.018132364969469,0.45970118109661,-0.851219135827443
5,5,5,4,5,4,4,3,3,5,4,4,5,5,5,5,3,2,1,1,2,8,3,1,1,0,13,7,2,4,1,4,5,7,5,7,6,4,3,5,0.637666740782074,-0.449199229444405,0.641576260089826
5,5,5,5,5,4,5,2,2,5,5,3,5,5,5,3,5,3,2,2,8,6,4,1,0,0,14,8,2,4,1,5,5,3,6,7,3,1,3,2,0.0750328960275498,-0.728365218352972,0.777132289684139
4,4,4,4,4,3,2,3,3,3,4,4,4,2,5,4,2,2,1,1,3,3,1,0,1,1,4,3,2,3,1,2,1,16,2,5,5,4,4,3,-0.140488137621743,0.557034603363158,-0.131321440311783
4,5,5,5,2,5,5,3,3,5,5,4,5,5,5,5,2,2,1,1,8,8,2,0,1,0,5,8,1,3,1,5,4,9,7,6,5,4,1,5,-0.140141442548174,0.461133591137649,0.777132289684139
4,4,5,3,3,4,4,3,3,4,4,5,4,4,4,4,4,2,1,1,6,4,2,0,1,1,1,5,2,3,1,4,3,12,4,7,5,1,3,4,-0.391208831407869,0.907377876299525,0.0722670879072252
4,4,4,4,5,3,3,2,3,2,3,3,3,3,3,3,4,2,1,2,6,6,2,0,1,1,5,6,2,3,1,4,2,3,4,4,5,4,4,4,-0.199694667385027,0.472701504546702,-0.733791629569592
