"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,5,5,5,4,5,2,3,3,2,4,4,3,3,2,1,1,1,1,2,0,0,1,1,8,2,3,1,4,5,16,3,7,2,1,2,0.782273323394507
5,4,5,4,4,3,2,3,4,4,4,1,2,3,2,1,2,8,8,3,1,0,0,13,5,2,3,1,4,3,3,6,7,7,4,4,-0.517855666492129
4,5,5,5,4,3,3,4,4,5,5,5,5,4,2,1,2,3,6,1,0,0,1,13,6,2,3,1,2,4,5,5,8,8,6,1,-0.514971661069341
5,5,5,5,5,3,2,3,5,5,5,5,5,5,3,1,2,2,2,3,1,1,1,7,7,2,4,1,5,5,13,7,6,5,3,3,0.362623165178018
5,5,5,5,4,4,1,3,3,3,4,2,3,3,3,1,1,6,6,5,1,0,1,10,5,2,3,1,4,4,10,8,5,6,4,8,-0.0149168951795423
5,4,5,5,3,5,3,5,5,5,5,4,3,5,3,1,1,1,1,2,0,1,1,4,5,2,3,1,2,5,4,6,7,5,1,2,0.537318103191587
4,4,5,5,4,4,3,4,4,3,4,3,4,3,2,1,1,8,6,2,0,1,0,4,6,1,3,1,4,5,14,7,6,5,1,4,0.528745792156463
5,3,4,3,4,3,2,2,5,1,4,2,3,4,3,1,1,8,8,2,0,2,0,2,8,1,3,1,4,4,5,7,5,7,4,1,0.781363306431137
5,5,5,5,5,4,3,2,2,3,4,2,2,3,3,1,1,1,6,3,1,0,1,5,4,2,4,1,3,4,3,5,6,2,1,1,0.44141286304482
5,5,5,4,4,4,3,5,4,4,5,5,5,3,2,1,1,2,8,3,1,1,0,13,7,2,4,1,4,5,7,5,7,6,4,3,-0.435976245589304
5,5,5,5,4,5,2,5,5,3,5,5,5,5,3,2,2,8,6,4,1,0,0,14,8,2,4,1,5,5,3,6,7,3,1,3,-0.708055863997053
4,4,4,4,3,2,3,3,4,4,4,2,5,2,2,1,1,3,3,1,0,1,1,4,3,2,3,1,2,1,16,2,5,5,4,4,0.537318103191587
4,5,5,5,5,5,3,5,5,4,5,5,5,2,2,1,1,8,8,2,0,1,0,5,8,1,3,1,5,4,9,7,6,5,4,1,0.451803169632365
4,4,5,3,4,4,3,4,4,5,4,4,4,4,2,1,1,6,4,2,0,1,1,1,5,2,3,1,4,3,12,4,7,5,1,3,0.874509585713309
