"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"SUCCESS","=~","SUCCESS4",0.428867296224552,0.0197260742651426,21.7411376668287,0,0.39020490110851,0.467529691340594
"SUCCESS","=~","SATIS13",0.293501382834729,0.017748872738058,16.5363393589155,0,0.258714231501951,0.328288534167508
"SUCCESS","=~","SLFCHG02",0.692511040484496,0.0193097199472856,35.8633394153313,0,0.654664684836262,0.73035739613273
"SUCCESS","=~","SLFCHG03",0.843476519399781,0.0227960429872629,37.0010058268036,0,0.798797096154719,0.888155942644843
"SUCCESS4","|","t1",-2.15054443457688,0.0450983140816968,-47.6856946510486,0,-2.23893550594048,-2.06215336321328
"SUCCESS4","|","t2",-0.381704474022436,0.0184129607573632,-20.7302062418069,0,-0.417793213955617,-0.345615734089255
"SATIS13","|","t1",-2.40981269815634,0.05819709829644,-41.4077809495143,0,-2.5238769148221,-2.29574848149058
"SATIS13","|","t2",-1.10754558866751,0.0225595055455601,-49.0944088482243,0,-1.15176140704584,-1.06332977028918
"SATIS13","|","t3",-0.384464320145842,0.0184200902384655,-20.8720106779385,0,-0.420567033605212,-0.348361606686472
"SATIS13","|","t4",0.709518355760837,0.0196707461728689,36.0697224968237,0,0.670964401712985,0.748072309808689
"SLFCHG02","|","t1",-2.90408841862592,0.104273540012092,-27.8506744691813,0,-3.10846080159011,-2.69971603566172
"SLFCHG02","|","t2",-2.50406721240329,0.0644028832537038,-38.8812904934545,0,-2.63029454408109,-2.3778398807255
"SLFCHG02","|","t3",-1.51032824120062,0.0277519856220761,-54.4223487921952,0,-1.56472113351936,-1.45593534888187
"SLFCHG02","|","t4",0.312507047828754,0.0182519403237368,17.1218534734269,0,0.276733902146255,0.348280193511252
"SLFCHG03","|","t1",-2.94076840099733,0.109445119726627,-26.8697992961477,0,-3.15527689394519,-2.72625990804947
"SLFCHG03","|","t2",-2.74027737173796,0.0847334401987493,-32.3399754018061,0,-2.90635186281369,-2.57420288066223
"SLFCHG03","|","t3",-2.1061028836585,0.0433190880172307,-48.6183569428048,0,-2.19100673601539,-2.02119903130161
"SLFCHG03","|","t4",-0.421740210240523,0.0185217992128684,-22.7699374879041,0,-0.458042269626628,-0.385438150854419
"SUCCESS4","~~","SUCCESS4",0.816072842229042,0.0169197366060038,48.2320062795463,0,0.782910767853371,0.849234916604714
"SATIS13","~~","SATIS13",0.913856938274102,0.0104186376336479,87.7136695226561,0,0.893436783744178,0.934277092804025
"SLFCHG02","~~","SLFCHG02",0.520428458807081,0.0267443889376251,19.4593512688159,0,0.468010419700804,0.572846497913358
"SLFCHG03","~~","SLFCHG03",0.288547361221231,0.0384558539753199,7.50334036025867,6.21724893790088e-14,0.213175272434873,0.36391945000759
"SUCCESS","~~","SUCCESS",1,0,NA,NA,1,1
"SUCCESS4","~*~","SUCCESS4",1,0,NA,NA,1,1
"SATIS13","~*~","SATIS13",1,0,NA,NA,1,1
"SLFCHG02","~*~","SLFCHG02",1,0,NA,NA,1,1
"SLFCHG03","~*~","SLFCHG03",1,0,NA,NA,1,1
"SUCCESS4","~1","",0,0,NA,NA,0,0
"SATIS13","~1","",0,0,NA,NA,0,0
"SLFCHG02","~1","",0,0,NA,NA,0,0
"SLFCHG03","~1","",0,0,NA,NA,0,0
"SUCCESS","~1","",0,0,NA,NA,0,0
